               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.023134,           0.0075459,                   0,              0.8886,                0.95,             0.97714,             0.62306,            0.026106,           0.0038795,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.032687,           0.0063472,                   0,             0.94393,                   1,             0.99024,             0.66012,            0.021281,           0.0038447,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.022784,           0.0072648,                   0,             0.94766,                   1,             0.99262,             0.72063,             0.02199,           0.0037785,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.022665,           0.0063068,                   0,             0.94895,                   1,             0.99262,             0.77151,            0.018435,           0.0038009,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.020227,            0.007486,                   0,             0.79905,                   1,             0.98795,             0.74525,            0.023727,           0.0038447,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.030336,           0.0062649,                   0,             0.94462,                 0.8,             0.95773,             0.56284,             0.02663,           0.0038438,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.027152,           0.0065677,                   0,             0.94092,                   1,             0.98548,             0.72473,            0.022007,           0.0037847,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.02396,             0.00736,                   0,             0.94914,                   1,             0.98071,              0.8071,            0.018555,           0.0037694,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.022093,           0.0072472,                   0,             0.90018,                   1,             0.98071,             0.71249,            0.026335,           0.0038638,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.032291,           0.0063404,                   0,             0.94892,                   1,             0.98786,             0.68064,             0.02381,           0.0037694,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.026497,            0.006617,                   0,             0.94862,                   1,             0.99262,             0.72842,             0.02315,           0.0036726,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.025124,           0.0055382,                   0,             0.94978,                   1,               0.995,              0.7741,             0.02075,           0.0036087,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.020465,           0.0068511,                   0,             0.95034,                   1,               0.995,             0.75704,            0.023382,           0.0039206,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.028716,           0.0068082,                   0,             0.94698,                   1,             0.99262,             0.75676,            0.021883,           0.0036559,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.025427,           0.0066763,                   0,             0.95215,                   1,               0.995,             0.71862,            0.022929,           0.0036855,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.026949,           0.0068858,                   0,             0.95216,                   1,               0.995,              0.7448,            0.021982,           0.0034919,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.020897,           0.0072301,                   0,             0.94428,                   1,               0.995,             0.75593,             0.02461,            0.003664,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.026583,           0.0059402,                   0,             0.94903,                   1,             0.99262,             0.73953,            0.019722,           0.0035968,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.023841,            0.005811,                   0,             0.94885,                   1,             0.99262,             0.74357,             0.02445,           0.0036607,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.024776,           0.0066379,                   0,             0.94899,                   1,             0.99262,             0.82744,            0.018197,           0.0035148,                   0,            0.006535,            0.006535,            0.006535
                 107,              0.0211,           0.0059204,                   0,             0.96111,                 0.9,             0.98598,             0.75992,            0.025215,           0.0035572,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.029794,           0.0064055,                   0,             0.94838,                   1,             0.99024,             0.79646,            0.021822,           0.0035663,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.026254,           0.0063273,                   0,             0.94969,                   1,             0.99262,             0.73651,            0.019986,           0.0035801,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.025156,           0.0066207,                   0,             0.94952,                   1,             0.99024,             0.80369,            0.018098,           0.0036764,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.021192,           0.0062802,                   0,             0.94975,                   1,             0.99024,             0.71755,            0.025878,           0.0036974,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.028494,           0.0061136,                   0,             0.94914,                   1,             0.99024,             0.75485,            0.019088,           0.0035152,                   0,            0.006337,            0.006337,            0.006337
                 113,             0.02317,           0.0059273,                   0,             0.94928,                   1,             0.99262,             0.62765,            0.028201,            0.003726,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.022938,           0.0068554,                   0,              0.9489,                   1,             0.99024,              0.7505,            0.020004,           0.0035734,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.018361,           0.0058012,                   0,             0.94872,                   1,             0.99262,             0.71188,            0.020521,           0.0035729,                   0,            0.006238,            0.006238,            0.006238
                 116,             0.02771,           0.0059789,                   0,             0.94867,                   1,             0.99262,             0.76885,            0.016785,             0.00349,                   0,            0.006205,            0.006205,            0.006205
                 117,             0.02256,           0.0053131,                   0,              0.9487,                   1,             0.99262,             0.71136,            0.025688,           0.0035558,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.023371,           0.0061847,                   0,             0.99895,                   1,               0.995,             0.81262,              0.0187,           0.0035224,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.018667,           0.0064353,                   0,                   1,             0.98821,               0.995,             0.69636,            0.026465,           0.0036922,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.026371,           0.0059907,                   0,                   1,             0.99664,               0.995,             0.83491,            0.019586,           0.0035782,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.022953,           0.0056564,                   0,                   1,              0.9834,               0.995,             0.72215,            0.021835,           0.0034666,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.023083,             0.00683,                   0,                   1,             0.99271,               0.995,             0.80804,            0.018111,            0.003468,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.018585,           0.0055388,                   0,             0.95119,                   1,               0.995,             0.73824,            0.025465,           0.0035172,                   0,            0.005974,            0.005974,            0.005974
                 124,             0.02614,           0.0062319,                   0,             0.94883,                   1,             0.99262,             0.80833,            0.016767,           0.0033951,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020414,           0.0062067,                   0,             0.94899,                   1,             0.99262,             0.79854,            0.017825,           0.0033579,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.020425,           0.0064438,                   0,             0.94899,                   1,             0.99024,             0.80129,            0.016454,           0.0033479,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.015675,             0.00626,                   0,             0.94924,                   1,             0.99024,             0.77166,            0.017465,           0.0033798,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.02172,           0.0058708,                   0,             0.94946,                   1,             0.99024,             0.74718,            0.019418,           0.0033894,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.023992,           0.0060757,                   0,             0.94908,                   1,             0.99262,             0.79429,            0.018114,           0.0033679,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.021527,           0.0066556,                   0,             0.94922,                   1,             0.99262,             0.83389,            0.017495,           0.0033541,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.019527,            0.005585,                   0,             0.94883,                   1,             0.99262,             0.75685,            0.022269,           0.0035567,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.026349,           0.0059345,                   0,             0.94907,                   1,             0.99262,             0.76885,            0.020751,           0.0035076,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.022683,           0.0054873,                   0,             0.94825,                   1,             0.99262,             0.79785,            0.018332,           0.0033154,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.020007,           0.0053969,                   0,             0.94917,                   1,             0.99262,             0.80759,            0.018358,           0.0033269,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.018485,           0.0055099,                   0,             0.94931,                   1,             0.99262,             0.69727,            0.023976,           0.0035119,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.027391,           0.0056145,                   0,             0.94976,                   1,             0.99262,             0.83367,            0.017339,           0.0034089,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.023108,           0.0064649,                   0,             0.94961,                   1,             0.99024,              0.8077,             0.01677,            0.003304,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.020727,           0.0052088,                   0,             0.94964,                   1,             0.99262,             0.79797,            0.018487,           0.0033665,                   0,            0.005479,            0.005479,            0.005479
